Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,5,"[0, 1, 2, 6, 8]",0.834,0.834,1.0,0.2675302066346098,Accept
2,5,"[0, 1, 2, 4, 6]",0.864,0.864,-,-,Improved
3,5,"[0, 2, 4, 6, 7]",0.811,0.864,0.9292695780361669,0.22261531779519794,Accept
4,4,"[0, 4, 6, 7]",0.816,0.864,-,-,Improved
5,3,"[0, 4, 6]",0.829,0.864,-,-,Improved
6,3,"[0, 2, 4]",0.707,0.864,0.7596045828482358,0.5379006645098742,Accept
7,4,"[0, 2, 3, 4]",0.713,0.864,-,-,Improved
8,4,"[0, 2, 3, 6]",0.81,0.864,-,-,Improved
9,3,"[0, 2, 3]",0.732,0.864,0.7510759615624619,0.36715773085591497,Accept
10,3,"[0, 2, 5]",0.824,0.864,-,-,Improved
11,3,"[2, 5, 6]",0.801,0.864,0.8897402166313536,0.13036115846313912,Accept
12,4,"[2, 4, 5, 6]",0.81,0.864,-,-,Improved
13,5,"[1, 2, 4, 5, 6]",0.846,0.864,-,-,Improved
14,5,"[1, 2, 4, 5, 6]",0.794,0.864,0.6504518627532374,0.7739760514968641,Reject
15,4,"[1, 2, 4, 6]",0.85,0.864,-,-,Improved
16,5,"[1, 2, 4, 6, 8]",0.841,0.864,0.9021009964088146,0.8826199869730327,Accept
17,5,"[1, 2, 4, 6, 8]",0.791,0.864,0.5099764034553596,0.7500373293530125,Reject
18,5,"[1, 2, 4, 6, 8]",0.722,0.864,0.15175402859866993,0.3936157555079358,Reject
19,4,"[2, 4, 6, 8]",0.808,0.864,0.5405657401757624,0.26644351409888944,Accept
20,3,"[4, 6, 8]",0.803,0.864,0.896147329436516,0.6140613207723126,Accept
21,3,"[4, 6, 8]",0.769,0.864,0.4159444360632273,0.7283194558110048,Reject
22,2,"[4, 6]",0.804,0.864,-,-,Improved
23,2,"[4, 6]",0.672,0.864,0.00897194731379788,0.83770793098163,Reject
24,3,"[3, 4, 6]",0.796,0.864,0.7145592876184178,0.3941364302815422,Accept
25,4,"[1, 3, 4, 6]",0.835,0.864,-,-,Improved
26,4,"[1, 3, 4, 6]",0.689,0.864,0.00020562568800692297,0.1289397070654914,Reject
27,4,"[1, 4, 6, 8]",0.828,0.864,0.619490976059103,0.27744985715623494,Accept
28,4,"[1, 4, 6, 7]",0.828,0.864,1.0,0.6174293731073163,Accept
29,4,"[1, 4, 6, 7]",0.775,0.864,0.006616579729283945,0.13817625256679433,Reject
