,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
746,3,16.0,1,1,20.25,0,1,0,0,1
781,1,17.0,1,0,57.0,1,0,0,0,1
173,3,21.0,0,0,7.925,0,1,0,0,1
127,3,24.0,0,0,7.1417,0,1,0,0,1
418,2,30.0,0,0,13.0,0,1,0,0,1
213,2,30.0,0,0,13.0,0,1,0,0,1
432,2,42.0,1,0,26.0,1,0,0,0,1
754,2,48.0,1,2,65.0,1,0,0,0,1
849,1,28.0,1,0,89.1042,1,0,1,0,0
414,3,44.0,0,0,7.925,0,1,0,0,1
516,2,34.0,0,0,10.5,1,0,0,0,1
554,3,22.0,0,0,7.775,1,0,0,0,1
44,3,19.0,0,0,7.8792,1,0,0,1,0
98,2,34.0,0,1,23.0,1,0,0,0,1
448,3,5.0,2,1,19.2583,1,0,1,0,0
51,3,21.0,0,0,7.8,0,1,0,0,1
138,3,16.0,0,0,9.2167,0,1,0,0,1
741,1,36.0,1,0,78.85,0,1,0,0,1
248,1,37.0,1,1,52.5542,0,1,0,0,1
393,1,23.0,1,0,113.275,1,0,1,0,0
313,3,28.0,0,0,7.8958,0,1,0,0,1
164,3,1.0,4,1,39.6875,0,1,0,0,1
381,3,1.0,0,2,15.7417,1,0,1,0,0
142,3,24.0,1,0,15.85,1,0,0,0,1
258,1,35.0,0,0,512.3292,1,0,1,0,0
281,3,28.0,0,0,7.8542,0,1,0,0,1
286,3,30.0,0,0,9.5,0,1,0,0,1
291,1,19.0,1,0,91.0792,1,0,1,0,0
578,3,28.0,1,0,14.4583,1,0,1,0,0
168,1,28.0,0,0,25.925,0,1,0,0,1
54,1,65.0,0,1,61.9792,0,1,1,0,0
1,1,38.0,1,0,71.2833,1,0,1,0,0
602,1,28.0,0,0,42.4,0,1,0,0,1
215,1,31.0,1,0,113.275,1,0,1,0,0
409,3,28.0,3,1,25.4667,1,0,0,0,1
74,3,32.0,0,0,56.4958,0,1,0,0,1
493,1,71.0,0,0,49.5042,0,1,1,0,0
226,2,19.0,0,0,10.5,0,1,0,0,1
23,1,28.0,0,0,35.5,0,1,0,0,1
819,3,10.0,3,2,27.9,0,1,0,0,1
649,3,23.0,0,0,7.55,1,0,0,0,1
867,1,31.0,0,0,50.4958,0,1,0,0,1
856,1,45.0,1,1,164.8667,1,0,0,0,1
617,3,26.0,1,0,16.1,1,0,0,0,1
166,1,28.0,0,1,55.0,1,0,0,0,1
571,1,53.0,2,0,51.4792,1,0,0,0,1
149,2,42.0,0,0,13.0,0,1,0,0,1
280,3,65.0,0,0,7.75,0,1,0,1,0
494,3,21.0,0,0,8.05,0,1,0,0,1
765,1,51.0,1,0,77.9583,1,0,0,0,1
547,2,28.0,0,0,13.8625,0,1,1,0,0
72,2,21.0,0,0,73.5,0,1,0,0,1
588,3,22.0,0,0,8.05,0,1,0,0,1
176,3,28.0,3,1,25.4667,0,1,0,0,1
259,2,50.0,0,1,26.0,1,0,0,0,1
234,2,24.0,0,0,10.5,0,1,0,0,1
256,1,28.0,0,0,79.2,1,0,1,0,0
97,1,23.0,0,1,63.3583,0,1,1,0,0
233,3,5.0,4,2,31.3875,1,0,0,0,1
661,3,40.0,0,0,7.225,0,1,1,0,0
196,3,28.0,0,0,7.75,0,1,0,1,0
698,1,49.0,1,1,110.8833,0,1,1,0,0
822,1,38.0,0,0,0.0,0,1,0,0,1
208,3,16.0,0,0,7.75,1,0,0,1,0
515,1,47.0,0,0,34.0208,0,1,0,0,1
169,3,28.0,0,0,56.4958,0,1,0,0,1
844,3,17.0,0,0,8.6625,0,1,0,0,1
582,2,54.0,0,0,26.0,0,1,0,0,1
222,3,51.0,0,0,8.05,0,1,0,0,1
255,3,29.0,0,2,15.2458,1,0,1,0,0
713,3,29.0,0,0,9.4833,0,1,0,0,1
496,1,54.0,1,0,78.2667,1,0,1,0,0
103,3,33.0,0,0,8.6542,0,1,0,0,1
517,3,28.0,0,0,24.15,0,1,0,1,0
172,3,1.0,1,1,11.1333,1,0,0,0,1
581,1,39.0,1,1,110.8833,1,0,1,0,0
484,1,25.0,1,0,91.0792,0,1,1,0,0
440,2,45.0,1,1,26.25,1,0,0,0,1
18,3,31.0,1,0,18.0,1,0,0,0,1
10,3,4.0,1,1,16.7,1,0,0,0,1
261,3,3.0,4,2,31.3875,0,1,0,0,1
527,1,28.0,0,0,221.7792,0,1,0,0,1
361,2,29.0,1,0,27.7208,0,1,1,0,0
71,3,16.0,5,2,46.9,1,0,0,0,1
309,1,30.0,0,0,56.9292,1,0,1,0,0
843,3,34.5,0,0,6.4375,0,1,1,0,0
352,3,15.0,1,1,7.2292,0,1,1,0,0
647,1,56.0,0,0,35.5,0,1,1,0,0
221,2,27.0,0,0,13.0,0,1,0,0,1
437,2,24.0,2,3,18.75,1,0,0,0,1
439,2,31.0,0,0,10.5,0,1,0,0,1
397,2,46.0,0,0,26.0,0,1,0,0,1
592,3,47.0,0,0,7.25,0,1,0,0,1
685,2,25.0,1,2,41.5792,0,1,1,0,0
657,3,32.0,1,1,15.5,1,0,0,1,0
229,3,28.0,3,1,25.4667,1,0,0,0,1
473,2,23.0,0,0,13.7917,1,0,1,0,0
665,2,32.0,2,0,73.5,0,1,0,0,1
831,2,0.83,1,1,18.75,0,1,0,0,1
729,3,25.0,1,0,7.925,1,0,0,0,1
824,3,2.0,4,1,39.6875,0,1,0,0,1
770,3,24.0,0,0,9.5,0,1,0,0,1
576,2,34.0,0,0,13.0,1,0,0,0,1
395,3,22.0,0,0,7.7958,0,1,0,0,1
509,3,26.0,0,0,56.4958,0,1,0,0,1
850,3,4.0,4,2,31.275,0,1,0,0,1
641,1,24.0,0,0,69.3,1,0,1,0,0
694,1,60.0,0,0,26.55,0,1,0,0,1
470,3,28.0,0,0,7.25,0,1,0,0,1
243,3,22.0,0,0,7.125,0,1,0,0,1
96,1,71.0,0,0,34.6542,0,1,1,0,0
441,3,20.0,0,0,9.5,0,1,0,0,1
758,3,34.0,0,0,8.05,0,1,0,0,1
85,3,33.0,3,0,15.85,1,0,0,0,1
460,1,48.0,0,0,26.55,0,1,0,0,1
223,3,28.0,0,0,7.8958,0,1,0,0,1
577,1,39.0,1,0,55.9,1,0,0,0,1
334,1,28.0,1,0,133.65,1,0,0,0,1
186,3,28.0,1,0,15.5,1,0,0,1,0
5,3,28.0,0,0,8.4583,0,1,0,1,0
542,3,11.0,4,2,31.275,1,0,0,0,1
266,3,16.0,4,1,39.6875,0,1,0,0,1
757,2,18.0,0,0,11.5,0,1,0,0,1
861,2,21.0,1,0,11.5,0,1,0,0,1
797,3,31.0,0,0,8.6833,1,0,0,0,1
847,3,35.0,0,0,7.8958,0,1,1,0,0
423,3,28.0,1,1,14.4,1,0,0,0,1
816,3,23.0,0,0,7.925,1,0,0,0,1
575,3,19.0,0,0,14.5,0,1,0,0,1
130,3,33.0,0,0,7.8958,0,1,1,0,0
868,3,28.0,0,0,9.5,0,1,0,0,1
224,1,38.0,1,0,90.0,0,1,0,0,1
35,1,42.0,1,0,52.0,0,1,0,0,1
7,3,2.0,3,1,21.075,0,1,0,0,1
714,2,52.0,0,0,13.0,0,1,0,0,1
344,2,36.0,0,0,13.0,0,1,0,0,1
666,2,25.0,0,0,13.0,0,1,0,0,1
876,3,20.0,0,0,9.8458,0,1,0,0,1
791,2,16.0,0,0,26.0,0,1,0,0,1
