,Survived
746,0
781,1
173,0
127,1
418,0
213,0
432,1
754,1
849,1
414,1
516,1
554,1
44,1
98,1
448,1
51,0
138,0
741,0
248,1
393,1
313,0
164,0
381,1
142,1
258,1
281,0
286,1
291,1
578,0
168,0
54,0
1,1
602,0
215,1
409,0
74,1
493,0
226,1
23,1
819,0
649,1
867,0
856,1
617,0
166,1
571,1
149,0
280,0
494,0
765,1
547,1
72,0
588,0
176,0
259,1
234,0
256,1
97,1
233,1
661,0
196,0
698,0
822,0
208,1
515,0
169,0
844,0
582,0
222,0
255,1
713,0
496,1
103,0
517,0
172,1
581,1
484,1
440,1
18,0
10,1
261,1
527,0
361,0
71,0
309,1
843,0
352,0
647,1
221,0
437,1
439,0
397,0
592,0
685,0
657,0
229,0
473,1
665,0
831,1
729,0
824,0
770,0
576,1
395,0
509,1
850,0
641,1
694,0
470,0
243,0
96,0
441,0
758,0
85,1
460,1
223,0
577,1
334,1
186,1
5,0
542,0
266,0
757,0
861,0
797,1
847,0
423,0
816,0
575,0
130,0
868,0
224,1
35,0
7,0
714,0
344,0
666,0
876,0
791,0
364,0
753,0
628,0
573,1
638,0
292,0
608,1
121,0
315,1
498,0
534,0
857,1
94,0
177,0
475,0
435,1
626,0
712,1
449,1
888,0
162,0
64,0
2,1
841,0
108,0
156,1
375,1
420,0
110,0
854,0
211,1
21,1
93,0
869,1
95,0
829,1
472,1
790,0
415,0
147,0
736,0
619,0
490,0
782,0
710,1
655,0
618,1
591,1
270,0
369,1
601,0
616,0
833,0
29,0
560,0
322,1
778,0
70,0
216,1
564,0
217,0
34,0
106,1
165,1
557,0
728,0
467,0
825,0
540,1
645,1
821,1
513,1
230,1
669,1
800,0
740,1
271,1
687,0
708,1
214,0
871,1
45,0
858,1
339,0
563,0
735,0
153,0
818,0
652,0
298,1
400,1
583,0
805,0
362,0
62,0
384,0
882,0
631,0
47,1
383,1
705,0
80,0
458,1
268,1
287,0
611,0
207,1
826,0
136,1
170,0
459,0
262,0
827,1
312,0
200,0
129,0
356,1
274,1
88,1
763,1
28,1
19,1
404,0
421,0
783,0
314,0
389,1
789,0
112,0
333,0
82,1
329,1
886,0
326,0
363,0
8,1
92,0
889,1
155,0
50,0
299,1
111,0
203,0
851,0
90,0
86,0
629,0
604,1
251,0
724,1
872,0
699,0
282,0
331,0
887,1
197,0
238,0
209,1
814,0
184,1
719,0
587,1
87,0
120,0
702,0
579,1
190,1
91,0
380,1
627,1
468,0
330,1
760,0
804,1
632,1
845,0
263,0
33,0
820,1
297,0
486,1
634,0
584,0
595,0
357,0
639,0
510,1
744,1
154,0
885,0
621,1
464,0
696,0
558,1
880,1
650,0
283,1
521,0
347,1
499,0
586,0
328,1
664,1
123,1
623,0
174,0
817,0
24,0
788,1
52,1
675,0
89,0
187,1
451,0
730,1
538,0
775,0
722,0
569,1
764,0
206,0
367,1
883,0
188,0
580,1
553,1
413,0
290,1
551,0
739,0
832,0
680,0
346,1
779,1
143,0
567,0
504,1
463,0
874,1
141,1
273,0
848,0
692,1
55,1
715,0
803,1
784,0
53,1
659,0
348,1
284,0
61,1
662,0
159,0
11,1
476,0
545,0
810,0
726,1
252,0
239,0
426,1
600,1
101,0
606,0
769,0
512,1
345,1
42,0
295,0
401,0
114,0
161,1
183,1
875,1
43,1
642,0
192,1
225,0
668,0
570,1
457,1
447,1
16,0
809,1
796,1
480,0
394,1
341,1
477,0
133,1
879,1
813,0
522,0
700,1
332,0
59,0
525,0
830,1
118,0
695,0
6,0
599,1
374,0
737,1
65,1
79,1
881,0
264,0
823,1
734,0
144,0
751,1
614,0
774,1
63,0
543,1
526,1
181,0
407,1
798,0
189,0
359,1
288,1
325,1
565,0
866,1
124,0
500,0
245,0
30,0
613,0
182,0
454,0
615,1
549,1
387,1
376,1
723,0
408,0
148,0
508,0
442,0
519,0
236,0
119,0
125,1
240,0
398,0
438,0
306,1
683,0
135,0
0,0
175,0
278,0
863,0
371,0
535,1
505,0
300,1
873,0
637,0
846,0
890,0
562,0
786,1
625,0
201,0
690,1
654,0
422,0
202,0
178,0
48,0
568,0
337,1
419,0
656,0
572,1
511,0
294,0
745,0
840,0
15,1
57,0
561,0
597,0
768,0
532,0
4,0
403,0
884,0
748,0
267,1
269,1
317,0
772,0
311,1
36,1
624,0
828,1
318,1
46,0
343,0
488,0
465,0
598,0
417,1
246,0
191,0
550,1
670,1
524,0
406,0
862,1
709,1
231,0
185,0
855,1
253,0
399,1
776,0
157,0
372,0
436,0
396,0
210,0
388,0
39,1
163,0
478,0
636,0
235,0
145,0
260,0
548,0
335,0
676,0
390,1
663,0
836,0
31,1
859,0
3,1
815,0
68,1
411,0
607,1
67,0
293,0
622,1
429,1
807,0
811,0
452,0
336,0
793,0
691,1
180,0
455,1
777,1
755,1
32,1
495,0
265,0
536,0
402,0
320,0
756,0
834,0
37,0
537,1
492,0
596,1
167,0
115,0
195,1
671,0
704,0
446,1
792,0
444,1
762,1
160,0
860,0
877,0
590,0
485,0
605,0
38,0
241,1
66,1
802,1
296,0
529,0
254,0
83,0
370,1
864,0
747,1
870,0
633,0
651,1
711,0
852,0
218,1
319,1
386,0
139,0
878,0
350,0
743,0
358,1
285,0
198,1
609,1
257,1
742,1
474,0
733,0
433,0
392,0
531,0
131,0
342,0
13,0
107,1
701,1
405,0
785,0
643,1
566,0
134,0
673,1
100,0
487,0
277,0
132,0
25,1
721,0
56,1
707,1
324,0
794,0
99,0
674,0
76,0
697,1
471,0
321,0
302,0
679,1
410,0
523,1
365,0
194,1
12,0
842,1
506,1
727,1
377,0
146,1
767,0
354,0
22,1
126,0
279,1
453,1
250,0
425,0
58,1
482,0
